,Alaska Rush,,,http://akrush.com/,,,Competitive / Program / Developmental / Academy / Elite / Programs/TOPSoccer / Futsal/Clinics/Camps / Tournaments,
,Anchorage Youth Soccer,,,http://www.anchorageyouthsoccer.org/,,,Recreational/TOPSoccer / Developmental / Academy / Competitive / Program / Futsal/Clinics/Camps / Tournaments,
,Chugiak Soccer,,,https://chugiaksoccerclub.com/,,,Recreational / Program / Competitive / Program,
,Cook Inlet Soccer Club,,,https://cookinletsc.com/,,,Recreational / Program / Developmental / Academy / Competitive / Program / Tournaments,
,Eclipse Soccer Club,,,https://www.eclipsesoccer.net/,,,Competitive / Program / Camps / Tournaments,
,Homer United FC,,,https://homerunitedfc.org/,,,Recreational / Developmental / Academy / Competitive / Program / Futsal/Camps,
,Kenai Peninsula Soccer Club,,,https://kpsoccerclub.com/,,,Competitive / Program / Clinics / Camps,
,Crossfire Alaska Soccer Club,,,http://www.crossfirealaska.com/,,,Clinics/Camps,
,Palmer Soccer Club,,,https://www.palmersoccer.org/,,,Recreational / Program / Clinics/Camps / Futsal / Leagues,
,Valley Revolution,,,http://www.wasillayouthsoccer.org/,,,Competitive / Program,
,Juneau Soccer Club,,,https://www.juneausoccer.org/,,,Recreational / Program / Developmental / Academy / Competitive / Program / Indoor / Tournaments,
,Ketchikan Youth Soccer,,,http://www.ketchikanyouthsoccer.net/,,,Recreational / Program / Clinics/Camps / Developmental / Academy / Competitive / Program / Futsal / Leagues,
,Eclipse Soccer Club,,,https://www.eclipsesoccer.net/,,,Competitive / ProgramCampsTournaments,
,Homer United FC,,,https://homerunitedfc.org/,,,RecreationalDevelopmental / AcademyCompetitive / ProgramFutsal/Camps,
,Kenai Peninsula Soccer Club,,,https://kpsoccerclub.com/,,,Competitive / ProgramClinicsCamps,
,Crossfire Alaska Soccer Club,,,http://www.crossfirealaska.com/,,,Clinics/Camps,
,Palmer Soccer Club,,,https://www.palmersoccer.org/,,,Recreational / ProgramClinics/CampsFutsal / Leagues,
,Valley Revolution,,,http://www.wasillayouthsoccer.org/,,,Competitive / Program,
,Juneau Soccer Club,,,https://www.juneausoccer.org/,,,Recreational / ProgramDevelopmental / AcademyCompetitive / ProgramIndoor / Tournaments,
,Ketchikan Youth Soccer,,,http://www.ketchikanyouthsoccer.net/,,,Recreational / ProgramClinics/CampsDevelopmental / AcademyCompetitive / ProgramFutsal / Leagues,
,Alaska Rush,,,http://akrush.com/,,,Competitive / Program / Developmental / Academy / Elite / Programs/TOPSoccer / Futsal/Clinics/Camps / Tournaments,
,Anchorage Youth Soccer,,,http://www.anchorageyouthsoccer.org/,,,Recreational/TOPSoccer / Developmental / Academy / Competitive / Program / Futsal/Clinics/Camps / Tournaments,
,Chugiak Soccer,,,https://chugiaksoccerclub.com/,,,Recreational / Program / Competitive / Program,
,Cook Inlet Soccer Club,,,https://cookinletsc.com/,,,Recreational / Program / Developmental / Academy / Competitive / Program / Tournaments,
,Eclipse Soccer Club,,,https://www.eclipsesoccer.net/,,,Competitive / Program / Camps / Tournaments,
,Homer United FC,,,https://homerunitedfc.org/,,,Recreational / Developmental / Academy / Competitive / Program / Futsal/Camps,
,Kenai Peninsula Soccer Club,,,https://kpsoccerclub.com/,,,Competitive / Program / Clinics / Camps,
,Crossfire Alaska Soccer Club,,,http://www.crossfirealaska.com/,,,Clinics/Camps,
,Palmer Soccer Club,,,https://www.palmersoccer.org/,,,Recreational / Program / Clinics/Camps / Futsal / Leagues,
,Valley Revolution,,,http://www.wasillayouthsoccer.org/,,,Competitive / Program,
,Juneau Soccer Club,,,https://www.juneausoccer.org/,,,Recreational / Program / Developmental / Academy / Competitive / Program / Indoor / Tournaments,
,Ketchikan Youth Soccer,,,http://www.ketchikanyouthsoccer.net/,,,Recreational / Program / Clinics/Camps / Developmental / Academy / Competitive / Program / Futsal / Leagues,
,Eclipse Soccer Club,,,https://www.eclipsesoccer.net/,,,Competitive / ProgramCampsTournaments,
,Homer United FC,,,https://homerunitedfc.org/,,,RecreationalDevelopmental / AcademyCompetitive / ProgramFutsal/Camps,
,Kenai Peninsula Soccer Club,,,https://kpsoccerclub.com/,,,Competitive / ProgramClinicsCamps,
,Crossfire Alaska Soccer Club,,,http://www.crossfirealaska.com/,,,Clinics/Camps,
,Palmer Soccer Club,,,https://www.palmersoccer.org/,,,Recreational / ProgramClinics/CampsFutsal / Leagues,
,Valley Revolution,,,http://www.wasillayouthsoccer.org/,,,Competitive / Program,
,Juneau Soccer Club,,,https://www.juneausoccer.org/,,,Recreational / ProgramDevelopmental / AcademyCompetitive / ProgramIndoor / Tournaments,
,Ketchikan Youth Soccer,,,http://www.ketchikanyouthsoccer.net/,,,Recreational / ProgramClinics/CampsDevelopmental / AcademyCompetitive / ProgramFutsal / Leagues,
