,Hawaii Rush Big Island,,,,
,Kona Crush,,,http://www.konacrushacademy.com/,
,Na Hoa O Puna,,,http://sports.bluesombrero.com/Default.aspx?tabid=578933,
,Parker Bulls Soccer Club,,,http://www.parkerschoolhawaii.org/athletics/parker-bulls-soccer-club,
,Keahi Soccer Club,,,http://www.keahisoccerclub.org/,
,Po'ohala FC,,,http://poohala.org/,
,Albion Hawaii Soccer Club,,,http://www.albionschawaii.org/,
,Excel,,,,
,FA Maui,,,https://famaui.com/,
,Maui Strikers,,,http://mauistrikers.weebly.com/,
,Valley Isle Soccer Academy,,,http://www.valleyislesoccer.com/,
,Arsenal FC Hawaii,,,https://www.arsenalfchawaii.us/,
,AYSO United Hawaii,,,https://www.aysounitedhi.org/,
,Ballistic Soccer Hawaii,,,http://www.ballisticsoccerhawaii.com/,
,Crush Soccer Academy,,,https://www.crushsocceracademy.com/,
,FC Hawaii,,,https://fchawaii.org/,
,Hawaii 808 Soccer Club,,,http://www.hawaii808sc.com/,
,Hawaii Heat FC,,,http://www.heatfchawaii.com/,
,Hawaii Rush Soccer Club,,,http://hawaiirushsoccer.com/,
,Hawaii Soccer Academy,,,https://hisocceracademy.com/,
,Hawaii United FC,,,http://hawaiiunited.org/,
,Honolulu Brains,,,https://www.honolulubrains.org/,
,Hawaii Surf Soccer Club,,,http://surfsoccerhawaii.com/,
,Honolulu Bulls Soccer Club,,,http://www.hscbulls.com/,
,Ka'oi Soccer Club,,,http://www.kaoisoccerclub.org/,
,Koko Head Rapids,,,http://kokoheadrapids.com/,
,Leahi Soccer Club,,,http://leahisoccer.com/,
,LeJardin Soccer Academy,,,http://www.lejardinsoccer.org/,
,Nemesis Soccer Academy,,,http://nemesissocceracademyhawaii.com/,
,Shockers Soccer Club,,,http://www.shockershi.org/,
,Whitfield SC,,,https://www.whitfieldschawaii.com/,
